desdobrar	disdobra
desejar	disdja
desejo	mistida
desembrulhar	disimbuldja
desenhar	dizeña
desenho	dizeñu
desenrolar	disrola
desenterrar	distera
desenterrar	koba
deserto	dizertu
desfazer	disfasi
desgastado	disgastadu
desgastar	disgasta
desgostar	disgosta
desistir	disisti
desligado	disligadu
desligar	disliga
deslizamento	laludura
deslizar	lalu
deslumbrar	mpasma
desmaiar	dismadja
desmentir	disminti
desmentir	disminti
desnudar	dispi
despedida	dispidida
despedir	dispidi
despertador	spertadur
despertar	disperta
despir	dispi
desposar	kaza
desprezar	dispreza
desprezo	disprezu
destelhar	diskubri kasa
destruição	distruison
destruir	distrui
desvanecer	lati
desviar	disvia
desvio	disviu
detalhar	splika tudu
detestar	kiri mal
deus	deus
Deus	Deus
dever	obrigason
dever	dibi
devido a	pabia di
devolver	divulvi
dez	des
dezembro	dizembru
dezena	dizena
dezenove	disanovi
dezesseis	disaseis
dezessete	disaseti
dezoito	disaoitu
dia	dia
diabo	diabu
diamante	diamanti
diarreia	diarea
dicionário	disionariu
diferenciar	diferensa
diferente	diferenti
difícil	difisil
dificuldade	difikuldadi
dificultar	tudji
dificultar	difikulta
dilacerar	pustema
diminuição	diminuson
diminuir	diminui
dinheiro	diñeru
direção	direson
direita	direta
direito	diritu
direito	diretu
direito	bon pekadur
direto	di kumpridu
diretor	diretor
dirigir	diriji
disco	disku
disco	roda di bis
discursar	diskursa
discurso	diskursu
disenteria	diareia
disputa	disputa
disputa	djunda-djunda
disputar	djunda-djunda
distância	distansia
distanciar	lundjusi
distante	distanti
distribuição	manera di raparti
distribuído	rapartidu
distribuir	dibidi
distrito	tabanka
ditado popular	ditu
divagação	pensa tchiu
diversão	diverson
divertido	divirtidu
divertir	dibirti
dívida	dibida
dividido	dibididu
dividir	dibidi
divino	sagradu
divorciado	kin ku kaba kasamenti
divorciar	kaba kasamenti
divórcio	kaba kasamenti
dizer	fala
dizer adeus	dispidi
doação	duason
doar	pati
dobra	dobra
dobrado	dobradu
dobrar	dobra
doce	dos
doença	duensa
doente	duenti
doer	de
doido	dudu
dois	dus
dois mil	dus mil
dolorido	i ta de
domesticar	mansa
doméstico	domestiku
dominar	domina
domingo	dumingu
donzela	badjuda
dor	dur
dormindo	na durmi
dormir	durmi
dote	doti
doze	dozi
duna	montaña di reia
dureza	duresa
durar	dura
duro	duru
dúvida	duvida
duvidar	duvida
duzentos	duzentus
dúzia	duzia
e	ku
ébano	madera pretu
eclipse	eklisi di lua
eclodir	tchentchi
educar	iduka
egoísta	intereseru
eira	terenu
eixo	veiu
ela	el
elas	elis
ele	el
elefante	lifanti
elefantíase	kantimbon
eles	elis
eletricidade	lus
elevação	subida
elevador	elevadur
elevar	sibinti
elevar	sibi
em	na
em cima	riba
em forma de globo	rodondu
em vão	afuan
emagrecer	bida magru
embaçado	fusku
embaixo	bas
embalagem	embalajen
embalar	mbala
embeber	modja
embora	mbora
emborcar	mborka
embriagar	tchami
embrulhar	mbuldja
embrulho	mbuludju
emenda	menda
emendar	ndjudja
empacotar	mbuldja
empatar	mpata
empate	mpati
empilhar	monta
empoeirado	pueradu
empoeirar	puera
empregada	kriada
empregado	kriadu
empregar	mprega
emprestar	pista
empréstimo	imprestimu
empreteado	kemadu
empretear	pretsi
empretecer	pretusi
empurrar	mpura
encantamento	inkantu
encantar	inkanta
encanto	inkantu
encher	intchi
encontrar	nkontra
encontrar	nkontra
encontro	nkontru
encostar	ngosta
encosto	kau di ngosta
encurtar	nkurta
encurvado	nkurbadu
encurvar	nkurba
endereço	indiresu
endireitar	ndirita
endurecer	durisi
enegrecer	pretsi
enfeitar	fadja
enfeite	fadjamentu
enfeitiçar	sagia
enfermaria	infermaria
enfermeira	nfermeru
enferrujado	ferusadu
enferrujar	ferusa
enfiar	fia
enfileirar	formanta
enforcar	nforka
enfraquecer	frakisi
enfurecer	sañanta
enfurecido	ku raiba
enganar	ngana
enganchar	ngata
engano	nganu
engatinhar	ngatiña
engenho	muiñu
engessar	pui jesu
engolir	nguli
engordar	ngorda
engordar	takanta
engordurar	unta
engraçado	ingrasadu
engravidar	preña
enguia	pis kobra
enjaular	prindi
enlouquecer	dudisi
enraivecer	raibanta
enriquecer	rikisi
enriquecimento	rikisimenti
enrolar	dobra
enrubescer	burmedja
enrugado	nornoridu
ensacar	pui na saku
ensinar	sina
ensino	nsinu
ensopado	modjadu
ensopar	solopa
então	enton
enterrado	nteradu
enterrar	ntera
enterro	nteru
entijolar	ruma tidjolu
entorse	dismintidura
entrada	yentrada
entranha	tripa
entrar	yentra
entre	entri
entregar	nterga
entrelaçar	tisi
entristecer	tristisi
enumerar	numera
envelhecer	bedjisi
envelopar	mbuldja
envelope	nvolopi
envenenar	benena
envergonhado	burguñus
envergonhar	burguñanta
enviar	manda
envolver	nvolvi
envolvido	nvolvidu
enxada	intchada
enxadão	intchada garandi
enxame	muntu di bageras
enxergar	odja
enxó	intchon
época	tempu
equilibrar	djustanda
equilíbrio	stabilidadi
errado	yaradu
errar	yara
erro	eru
erva	padja-modjadu
ervilha	ervilia
esbarrar	madja
esbelto	magru
esbranquiçado	brankisidu
escada	skada
escala	skala
escalar	sibi
escalas	midida
escambo	troka
escapar	kapili
escarificação	sarfa
escassear	falta
escassez	falta
escasso	insufisienti
escavação	koba
escavar	koba
escola	skola
escolha	skudju
escolher	kudji
esconder	sukundi
esconderijo	kau di sukundi
escondido	sukundidu
escorpião	lakaran
escorregadio	laludu
escorregão	laludura
escorregar	lalu
escorrer	skuri
escova	skoba
escovar	skoba
escravidão	katiberasku
escravo	skrabu
escrever	skribi
escrita	skrita
escudo	tadjadera
entalhar	dizeña na madera
escurecer	skurisi
escuridão	sukurensa
escuro	sukuru
escutar	sukuta
esfaquear	fakia
esfolar	fola
esforçar	pega tesu
esforço	sforsu
esfregão	fergon
esfregar	ferga
esfriar	frianta
esfumaçar	fumansa
esmagado	potcholidu
esmagar	potcholi
esmeril	pedra di mola
esmola	simola
espada	spada
espada curta	spada kurtu
espalhar	spadja
espancar	suta
espátula	kotineti
espelho	spidju
esperança	speransa
esperar	pera
esperma	kuadju
espesso	gros
espeto	feru
espião	spion
espiar	spia
espiar	paga kulpa
espiga	spiga
espingarda	spingarda
espinha	spiña
espinho	spiñu
espionar	djimpini
espírito	spiritu
espírito bom	alma bon
espírito maligno	alma mau
espirrar	spira
esplêndido	bonitu
esplendor	bonitasku
esposa	mindjer
esposa	dona kasa
esposa	kasa-dus
esposo	spozu
espreguiçar	spindi kurpu
espremer	pirmi
espremido	pirmidu
espuma	sukuma
espumante	sukumanti
espumar	sukuma
esquadro	skladra
esquecer	diskisi
esquecimento	diskisimentu
esqueleto	skeletu
esquentar	kenta
esquerda	skerda
esquerdo	skerdu
esquilo	saniñu
esse	es
estabelecer	stablisi
estabelecido	pudu
estabelecimento	kau
estaca	markason
estação chuvosa	tempu di tchuba
estação fria	tempu di friu
estação quente	tempu di kalur
estação seca	tempu di seku
estacar	marka
estação	tempu
estado	mumentu
estado	stadu
estalar	stala
estanho	stañu
estapear	bofotia
estar	sta
este	e
estender	distindi
esterco	strumu
estéril	sebadu
estéril	tchon seku
esticar	tesanta
estimado	stimadu
estimar	stima
estimular	nkoradja
estômago	stomagu
estourar	rebenta
estrabismo	n'ñeleli
estrada	kamiñu
estrado	kontaplakadu
estragado	stragadu
estragar	dana
estrago	danu
estrangeiro	strandjeru
estrangulamento	forkadura
estrangular	forka
estranho	strañu
estreito	pikininu
estrela	strela
